index,review,true_label,predicted_label,confidence,prob_negative,prob_positive,Noise Narrator 1,Noise Narrator 2,XOR,Final Decision
3213,"“جيد لرحله العمل ، فقط للنوم”. الواي فاي سريع. غرف ضيقه وحمام اضيق لا يوجد فيه ادوات تنظيف.",Positive,Negative,0.996385574,0.996385574,0.003614431,FALSE,FALSE,TRUE,FALSE
7102,“عادي جدا”. لم يعجبني ازعاج في المصاعد والاستقبال. عدم توفر مواقف وكذلك الواي فاي المجاني ولا يوجد مصلي ولا نادي صحي السعر مرتفع والاطلاله سيئه,Positive,Negative,0.996269226,0.996269226,0.003730779,TRUE,FALSE,FALSE,'Not Sure'
464,“فهد ابراهيم”. لا شيء. الانترنت سيء جدا,Positive,Negative,0.996161819,0.996161819,0.003838226,FALSE,TRUE,FALSE,'Not Sure'
6055,“الجبيل الصناعيه شاهين يوسف”. االفندق وموقعه وقيمته ﻻلاثاثيه ونضيفته. الاستقبال وتعامله المزري وعدم يحترام الساكن وهمجيه التعامﻻ وحيث انني سكنت لدي يلفندق عده مرات ليس للا ستقبال ولكن لموقعه وسعره المناسب وحيث انني لا اطلب من الاستقبال اي شي وان طلبت لايجاب وتوفير الخدمات ضعيفه وحيث تبق ي الغرفه لمده ثلاث ايام ولم تنظف,Positive,Negative,0.996117115,0.996117115,0.003882922,TRUE,TRUE,TRUE,TRUE
6313,“management of the hotel were very polit and help full”. عدم وجود وجبه غداء اتعبتنا من الرواح والمجيئ لان لم يكن معلمات واضحه من اداره الفندق. bathrooms were very small an hardly I enjoyed taking bath also the offer was in your add tea but only three tea bags were the share of every room also water only two bottle of water to each room,Positive,Negative,0.996100307,0.996100307,0.003899739,TRUE,TRUE,TRUE,TRUE
9229,“فندق كنانه جده”. نظافه الفندق فقط .. خدماته مقبوله لكن تتاخر الخدمات بالوصول لك كطلب شيء من الخدمات للغرفه وموقعه البعيد عن مواقع الترفيه كالكورنيش وغيره .,Positive,Negative,0.995730579,0.995730579,0.004269455,FALSE,FALSE,TRUE,FALSE
9393,“رفه عن نفسك”. . عدم توفر مواقف للسيارات,Positive,Negative,0.994985819,0.994985819,0.005014194,FALSE,FALSE,TRUE,FALSE
10040,“دعوه ام ؟؟!”. انا متاكد من غرابه عنواني ولكن اللي حصل اني مسافر بعد زواجي بيوم الي جده وعندي حجز سويت مطل بالفندق قبل سفري وعند توديعي لامي واهدائها مبلغ زهيد في حقها كام فكنوز الدنيا لا توفي حق الوالدين دعت لي بان يرزقني الله وان يعوضني فما كان بين دعوتها واستجابتها الا ساعات قليله عند وصولي للفندق اخبروني بانهم تجاهلوا حجزي بالغلط وان الفندق لايوجد به غرف او سويت فلللل وانهم سيعوضوني وبالفعل تم ترقيه حجزي من سويت الي دور ملكي خاص بي فقط سعر الليله الواحده ٣٧ الف هههههههه بصراحه انصدمت والدور بالكامل زجاج وكلمه خرافي قليله فيه فذكرت دعوه الغاليه وعلمت بان كل ما قدمته لوالديك سيعوضك الله بضعف اضعافه. الزبده الدور ب ٣٧ الف وش الشين اللي بيكون فيه هههههههههه,Positive,Negative,0.99449569,0.99449569,0.005504354,TRUE,TRUE,TRUE,TRUE
2904,“المطففين”. . سوء الاستقبال عدم توفير كثير من الخدمات المطلوبه السعر كان اعلا من كثير من النزلاء الاخرين بفارق يصل الي اكثر من 300 ريال,Positive,Negative,0.994435072,0.994435072,0.005564886,TRUE,TRUE,TRUE,TRUE
1791,“طرشت الملح”. دخول الفندق سريع. تاخير في وصول السياره والسعر مبالغ فيه,Positive,Negative,0.994309187,0.994309187,0.005690783,TRUE,TRUE,TRUE,TRUE
3366,“لن اعود مره اخري”. حسن الاستقبال و الموقع Good reception and location. القيمه مبالغ فيها +المبالغه في اسعار العصيرات والماء من الكوفي شوب للغرف علما بان كاسات صغيره جدا مقابل القيمه +ارضيه الحمام زلقه جدا+السرير غير مريح بما يكفي +الشراشف غير جديده +الازعاج صباحا بتوزيع اوراق تنبيه الخروج مع طرق الباب من قبل العامل لاخبارك بموعد المغادره علما باني مسجل دخول الساعه 11.30مسا +عدم وجود الميني بار في الثلاجه + وقت الخروج باكرا الساعه 12 مساء Exaggerated value where + overstate the prices of juices and water from the coffee shops room note that the cups are very small compared to the value + bathroom floor very slippery + bed is comfortable enough + sheets new non- + hassle am distributing an alert out with a knock on the door leaves by working to inform you of the date of departure note that I logged in Massa 11.30 + lack of minibar in the fridge + early checkout time clock 12:00,Positive,Negative,0.994102061,0.994102061,0.005897951,TRUE,TRUE,TRUE,TRUE
9360,“راخه”. السعر. النت,Positive,Negative,0.993846595,0.993846595,0.006153386,FALSE,FALSE,TRUE,FALSE
9732,“٧”. المكان من خلل شاليات الدانه مررره جميل والبحر مررره قريب وفيه خصوصيه. المعامله من قبل المواظفين سيئه جدا والخدمات سييئه جدااا وخاصتنا مواظفينالبوابه والمغربي انسان سيئه جدااااا جدااااا معامله لاتدل ع راقيه المكان,Positive,Negative,0.993523479,0.993523479,0.00647648,FALSE,FALSE,TRUE,FALSE
5166,“ازعاج”. . ازعاج الشارع بالغرفه,Positive,Negative,0.993376553,0.993376553,0.006623444,TRUE,TRUE,TRUE,TRUE
5481,“جيد”. الاكل جيد. خدمه الراي فاي معقوله فندق اربع نجوم مافيه واي فاي الا في الاستقبال حتي شقق العاديه فيها واي فاي جميع الغرف. شي سيئ لا يوجد واي فاي تضجرت من عدم وجوده,Positive,Negative,0.993246555,0.993246555,0.006753377,FALSE,FALSE,TRUE,FALSE
7018,“عدم الامانه في الدعايه”. الفندق فخم و نظيف و الخدمه به جيده لكنه يفتقد اهم عنصر جذب بالنسبه لموقعه....البعد عن الحرم و عدم توفر وسيله مواصلات جيده من و الي الحرم. علي كوقع الفندق قيل ان المسافه الي حرم 1.5 كن و تبين علي جوجل و علي ارض الواقع انها 7.5 كم و تلك سقطه سيئه جدا في حق الفندق و الدعايه له....عدم الاكانه في الدعايه للمكان مما اثر بالسلب عن الهدف من الزياره و هو زياره الحرم مع كل اذان. البعد عن الحرم و الكذب في الدعايه بذكر ان المسافه 1.5 كم من الحرم و هي في الواقع 7.5 كم,Positive,Negative,0.993232489,0.993232489,0.006767543,TRUE,TRUE,TRUE,TRUE
8205,"“تجربه ممتعه لن اكررها في نفس الفندق”. الموقع ممتاز وقريب من كافه الامان التي اريدها. تنوع قائمه الطعام في المطعم. الانترنت سريع جدا. Location is great as it is near places that I want to go. Nice menu and restaurant.. تعامل ابن صاحب الفندق (ف) كان سيئ جدا مع العماله والموظفين بالفندق الي درجه انه يمكن وصف تعامله معهم كسخره والتي اعتبرها انتهاك لحقوق الانسان وحقوق العمال.The son of the hotel’s owner (F ) was dealing abusively with hotel staff. Confirmaly, I can describe his dealings with them as ""slavery"" which I consider the obvious violation of human rights and workers' rights.",Positive,Negative,0.993142128,0.993142128,0.0068579,FALSE,TRUE,FALSE,'Not Sure'
7740,“ارجو الاهتمام بالنزيل”. لقد قمت بالحجز غرفتين توام واتصلت بهم قبل وصولي بساعه للفندق للتاكد من جاهزيتها ولكن عند وصولي الي الفندق اخبروني بعدم جاهزيتها الساعه ٤ عصرا وطلب مني الانتظار نصف ساعه ولكن فوجئت بعد الانتظار بانهم يقولون لي ان هناك غرفه توام وغرفه مفرد جاهزه فقط واذا اردت الغرفتين اللتين حجزتهما من خلال برنامج booking فعلي الانتظار فاضطررت للموافقه حتي لا انتظر اكثر. عدم تجهيز الغرفتين اللتين تم حجزهماطلب مني المغادره الساعه١٢ ظهرا,Positive,Negative,0.993108749,0.993108749,0.006891178,TRUE,FALSE,FALSE,'Not Sure'
4069,"“الحقيقه”. الموقع ، الافطار. النظافه للاسف",Positive,Negative,0.993018687,0.993018687,0.006981334,TRUE,TRUE,TRUE,TRUE
10543,“وجهت نظر”. قريب من الكورنيش وعلي طريق مدينه كلباء وخورفكان. يوجد رائحه طهو الطعام في بعض الطوابق,Positive,Negative,0.992742896,0.992742896,0.007257093,TRUE,FALSE,FALSE,'Not Sure'
4133,“تغيير جو”. . الاطلاله صحيح انه علي معبر مائي الا ان هناك تعمير وانشاءات مشوهه المنظر,Positive,Negative,0.99252373,0.99252373,0.007476224,FALSE,FALSE,TRUE,FALSE
3802,“المكان ممتاز”. لا شي. اول مره اسمع الانترنيت بفلوس بصراحه شي سيئ جدا جدا والله عيب عليهم في الامارات وفي حد يطلب الانترنيت بفلوس في فندق سكنت اقل منه مستوي والانترنيت فيه بلاش وبعد قوي لكن شو الواحد يقول عقل مافي واكيد الاداره تعبانه جدا,Positive,Negative,0.992440343,0.992440343,0.007559648,FALSE,TRUE,FALSE,'Not Sure'
8308,“القرب عنوان”. لايوجد افطار. الفرش متسخ. النت ضعيف. الافظار لايوجد,Positive,Negative,0.992290676,0.992290676,0.007709332,TRUE,TRUE,TRUE,TRUE
9489,“سوء المعامله في تقديم الطلبات”. المنظر. المكان,Positive,Negative,0.992281258,0.992281258,0.007718679,TRUE,FALSE,FALSE,'Not Sure'
6304,“جيد”. لاشيء. التكيف الغرفه الي جانبي مزعج جدا,Positive,Negative,0.991965055,0.991965055,0.008034893,FALSE,FALSE,TRUE,FALSE
9218,“الموقع فقط”. الموقعمرتبه السرير. لا يوجد عزل للصوت في الغرفخدمه صف السياره دون مستوي الخمسه نجوممدخل الفندق واللوبي دون المستوي بامكانك الاقامه في فندق اخر افضل من هذا الفندق وبنفس هذا السعر,Positive,Negative,0.991785467,0.991785467,0.008214526,TRUE,TRUE,TRUE,TRUE
4027,“لاباس فيه”. النظافه + طاقم موظفي قسم الطعام. الاستقبال عندهم سيئ جدا لم يهتمو بااستقبال الضيوف والشنط والعفش الضيف هو الذي ينشغل بتحميل امتعته لايوجدعمال لحمل الشنط وامتعه الضيوف + روائح التدخين منتشره في الفندق + بعده عن الحرم والمسافهالمعروضهفي هذا الموقع غيرصحيحه,Positive,Negative,0.991711855,0.991711855,0.008288188,FALSE,FALSE,TRUE,FALSE
740,“مواقفها خايسه وكثير علقو بوسطها وانا منهم وبصعوبه طلعت”. . مواقفها وفرض رسوم غير الاجار لسياره,Positive,Negative,0.991703868,0.991703868,0.008296054,TRUE,TRUE,TRUE,TRUE
4394,“لن اسكن فيه مره اخري الا اذا كان سعره رخيص مره”. الموقع ممتاز نسبيا و الغرف واسعه و نظيفه .. كثره المصاعد .. عدم وجود ازعاج .. المطعم ممتاز. حجزت غرفه سرير مزدوج و عند الوصول لقيتها سريرين و طلبت ضمها بعد العصر و لم تضم و بعد المغرب و لم تضم و بعد العشاء مرتين حتي ارسلو العمال لضم السريرين .. الانترنت يتغير يوميا الرمز السري و اسم المستخدم و عند الطلب لليوم الثاني قال لي موظف الاستقبال بارسل لك الرقم مع العامل و خرجت من الفندق بعد يومين و لم يحضر العامل الي الان .. كرسي الحمام لم يكن نظيف و طلبت عامل النظافه و لم يرسلوه حتي لقيته في السيب صدفه و اعطيته بخشيش عشان ينظف الحمام .. الخدمه ليست جيده كانك ساكن عندهم بفلوسهم,Positive,Negative,0.991181731,0.991181731,0.00881825,FALSE,FALSE,TRUE,FALSE
10182,"“الفندق جيد ، لكن انا ما توفقت”. - بوفيه الفطور والسحور.- المواصلات لا باس بها، لكن رائحه الطريق من بعد النفق الي الفندق متعب قليلا.- توفر باصات الفندق ، واذا ما وجدت تحصل علي باصات النقل العامه بريالين للشخص.- عمال نقل الاغراض متعاونين ورتبوا لي مواصلات الي المدينه المنوره.. - طلبت غرفتين ، وحده ممتازه ، والثانيه دمار ، كانت صغيره ، والابجوره مكسوره ، والفراش محروق ومشقق ، استغربت ، اما الغرفه الثانيه اكبر ومرتبه ، للعلم انا طالب حجرتين كل حجره لشخصين.",Positive,Negative,0.990772128,0.990772128,0.009227911,FALSE,FALSE,TRUE,FALSE
5092,“سائح وزوجته من السعوديه”. . عدم وتوفر واي فاي بالمجان مثل معظم شقق سكن دبي في مستوي شقق شلسي لابد من اعاده النظر في ذلك لانها اكثر شكاوي الساكنين حسب ماسمعت ومالمسته.,Positive,Negative,0.989253342,0.989253342,0.010746735,FALSE,FALSE,TRUE,FALSE
4931,“شكوي”. . تم سحب من بطاقتي الائتمانيه مبلغ زائد وعلي الرغم من ابلاغي لهم بذلك الا انهم طلبوا مني ان ادفع عن طريق البطاقه مره اخري وبامكانكم التاكد من ذلك.,Positive,Negative,0.989072323,0.989072323,0.010927686,TRUE,TRUE,TRUE,TRUE
3145,“مشكله واحده”. مشكله واحده عكرت عيد زواجي. الاستقبال كان سئ .. حيث انني حجزت قبل 3 ايام .. ووصلت عصرا وبقيت الي الساعه 5 بانتظار تجهيز الغرفه .. وتم طلب خروجي في اليوم الثاني عند الواحده ظهرا .. اتمني تعويضي بشي مميز يرضي اعجابي بكم .. او ساقوم بتغيير وجهتي مستقبلا,Positive,Negative,0.988977015,0.988977015,0.011023013,TRUE,FALSE,FALSE,'Not Sure'
3242,“شابان عزاب”. اعجبني طبيعه المجمع مع الفندق. لا يوجد,Positive,Negative,0.988809884,0.988809884,0.011190182,FALSE,FALSE,TRUE,FALSE
2375,“وداعا يا بوكينق في السعوديه”. اعجبني حسن استقبال الشاب السعودي عيدالرحمن وتنوع المطاعم والمقاهي والهدوء .. سرعه رد الخدمات الهاتفيه. تصريف ماء المروش يخرج للممر ويغرق الغرفه .. كانك في شقق مفروشه مبتدئه ولست في فندق خمس نجوم .. اضطريت اخلع الجوارب للدخول والخروج من دووه المياه .. كذلك كثره بطاقات الشنط عند طلب التشيك اوت لم افهمها وفي الاخير انا الي حملت شنطي بنفسي .. كذلك ضعف استخدام العاملين للغه العربيه فتضطر للحديث معهم بالانجليزيه رغم عدم اجادتي التامه لها مما ينتج عنه ضعف الخدمه وتاخرها علي سبيل المثال المقهي الارضي يشترط حد ادني 100 ريال للفرد باستثناء النزلاء ورغم انني نزيل لم يتم استثنائي .. كذلك هناك تباين في اسعار البوكينق والاستقبال حيث خدعني البوكينق وحجزت من طريقه بالف واربعمائه ريال دون افطار مجاني وعند الحضور للفندق وجدت الناس تحجز بالف ومائتا ريال مع افطار مجاني .. وداعا للبوكينق في السعوديه,Positive,Negative,0.987692297,0.987692297,0.0123077,TRUE,TRUE,TRUE,TRUE
3639,“غير مقبول بالنسبه للسعر”. نعم. حجم الغرفه صغير,Positive,Negative,0.987303317,0.987303317,0.012696632,TRUE,TRUE,TRUE,TRUE
6997,“جيده نوعا ما”. . الغرف يوصل لها ازعاج الموسيقي من النادي الليلي,Positive,Negative,0.987056613,0.987056613,0.012943383,FALSE,FALSE,TRUE,FALSE
536,“السعر غالي”. . السعو,Positive,Negative,0.986129582,0.986129582,0.013870449,TRUE,FALSE,FALSE,'Not Sure'
5498,“فندق جميل لكن مبالغه في الاسعار”. . تاخر في الخدمه والاسعار المبالغه,Positive,Negative,0.985489845,0.985489845,0.014510104,FALSE,FALSE,TRUE,FALSE
7554,“راحت بال وقرب من الحرم”. موقع الفندق وتعدد الاسنصيرات التعامل السريع مع المشاكل. عدم السؤال عن خدمات الغرفه من قبل عمال النظافه,Positive,Negative,0.984637916,0.984637916,0.015362067,FALSE,FALSE,TRUE,FALSE
9043,“ازعاج”. الاطلاله رائعه جدا. ازعاااااااج عمال كانو فوق غرفه النوم مباشره وازعجوني وكلمتهم اكثر من ومالقيت تجاوبغير كذا كل شي في الفندق حلو,Positive,Negative,0.983197868,0.983197868,0.016802134,FALSE,FALSE,TRUE,FALSE
9314,“انصح باﻻقامه في الشقق”. . اعمال بناء بالقرب من الموقع,Positive,Negative,0.982447088,0.982447088,0.017552907,FALSE,FALSE,TRUE,FALSE
1482,“يحتاج تجديد”. الوصول للفندق صعب ويضيع شوي. الاكل في مطعم البويه. غالي مقابل لجوده الاكل والتنوع,Positive,Negative,0.981155992,0.981155992,0.018844059,TRUE,FALSE,FALSE,'Not Sure'
5373,“.....”. الغرفه مرتبه ونظيفه... ازعاج من الصبح فالممرات..والصوت ينسمع فالغرف ومسوي ازعاج..,Positive,Negative,0.981054306,0.981054306,0.018945619,FALSE,FALSE,TRUE,FALSE
1309,"“اخلاقهم عاليه تفتح نفسك للايجار”. . عدم وجود بلاك اوت للنوافذ، والازعاج من السيارات",Positive,Negative,0.980430305,0.980430305,0.019569647,FALSE,FALSE,TRUE,FALSE
9825,“جيدا”. . المكان والراحه,Positive,Negative,0.98030889,0.98030889,0.019691061,FALSE,FALSE,TRUE,FALSE
8680,“موقع ممتاز لكن الراحه ضعيف جدا”. الموقع لانه قريب جدا لبرج خليفه وسعره مقارنه بالموقع لاباس فيه. ازعاج العاملين كان هناك اعمال صيانه و اسمع اصوات الشواكيش و الدريلعدم وجود عزل صوت الاثاث جدا قديم ولا يرتقي لمستوي الفندق,Positive,Negative,0.979056299,0.979056299,0.020943724,TRUE,TRUE,TRUE,TRUE
2393,“مو مثل مااتوقعت”. لم تعجبني قوانين الفندق نحجز غرفه لشخصين بالغين مع طفلين مع فطور بس الفطور يكون للكبار والاطفال ندفع لهم..,Positive,Negative,0.978838742,0.978838742,0.021161264,TRUE,TRUE,TRUE,TRUE
6054,“5”. بشاشه وحسن وتميز استقبال الموظفين السعوديين بالاستقبال وجوده المطعم. المواقف والتنظيم حول الموقع,Positive,Negative,0.978213608,0.978213608,0.021786364,FALSE,FALSE,TRUE,FALSE
3269,“دبي”. المناظر داخل الفندق. خدمات الموظفين,Positive,Negative,0.977549255,0.977549255,0.022450721,FALSE,FALSE,TRUE,FALSE
1884,"“توقعاتنا كانت اعلي من مستوي الفندق”. . تاخر موعد استلامنا للغرفه بعد موعر "" chick in "" حيث تم التواصل مع الطاقم ولا زال التاخير قائم رغم وعودهم بان الغرفه ستجهز خلال دقائق ولكن التاخير استمر الي 3 ساعات. مما ادي لضيقنا من طريقه استجابتهم للموضوع.",Positive,Negative,0.976055443,0.976055443,0.023944542,TRUE,TRUE,TRUE,TRUE
4160,“ب”. . باقي لي ثلاث ميه درهم تامين مخصومه من الفيزا ولها ١٥ يوم واكثر مارجعت لكي .. وهذي حركتهم مع اغلب اللي سكنو عندهم يعني اللي بيدفع تامين يدفعها كاش عشان ياخذها كاش اذا طلع,Positive,Negative,0.975828707,0.975828707,0.024171278,TRUE,TRUE,TRUE,TRUE
