index,review,true_label,predicted_label,confidence,prob_negative,prob_positive,Noise Narrator 1,Noise Narrator 2
8463,“اتمني لو تكتمل روعه الغرف مع نظافه الفندق وتميز الخدمه”. الغرف نظيفه من الداخل وواسعه. فطور بوفيه مفتوح لا يليق بفندق نص نجمه...وصلت للمطعم 8 صباحا وكانت معظم اطباق الفطار منتهيه دون تجديد!الممرات متسخه جدا ورائحتها سيئه انا اصنفه فندق 3 نجوم فقط,Negative,Positive,0.98734504,0.012654919,0.98734504,FALSE,TRUE
329,“مكان ممتع لجميع افراد الاسره”. حسن الاستقبال وهدوء المكان.. الشاليهات لا يوجد بها ادوات مطبخ وتحتاج الي صيانه دوريه.,Negative,Positive,0.987305522,0.012694469,0.987305522,TRUE,TRUE
5716,“من افضل الاماكن التي سكنت في مكه.”. النظافه والراحه.. لاشيء,Negative,Positive,0.987230361,0.012769584,0.987230361,TRUE,TRUE
9507,“فندق الراحه”. موظف الاستقبال هاني كان ممتاز جدا بستقبالي.,Negative,Positive,0.987184227,0.012815797,0.987184227,TRUE,TRUE
8434,“اقامه تجمع بين الاثنان العمل والاستجمام”. المكان جدا هادي مع اطلاله جميله ونظيف مع توافر مواقف وحراسات. ما لم يعجبني قله الاهتمام بالشاطئ البحريفهو يحتاج الي المزيد من الترتيب,Negative,Positive,0.987110376,0.012889666,0.987110376,TRUE,TRUE
1694,"“فندق راقي وتعامل ممتاز”. الغرف كبيره ومريحه , تعامل الموظفين ممتاز , الافطار مميز جدا ومتنوع , موقع متميز.",Negative,Positive,0.987043142,0.012956872,0.987043142,TRUE,TRUE
834,“جميله ليله للراحه قبل الرحله ولقربه من المطار”. جدا مريح ولذيذ اشكرك موظف الاستقبال الاخ المصري اعطاني ترفيع علي غرفه جدا فخمه فله كل الشكر والتقدير. كان فيه زواج لهنود في الدور الاخير وقليل من الازعاج,Negative,Positive,0.986757398,0.013242609,0.986757398,TRUE,TRUE
8971,“فندق جميل انصح جميع العوائل به . قريب من مول الامارات وقريب من gpr وقريب من جدا من المارينا مول”. الاطلاله علي شارع الشيخ زايد والنظافه في الشقق واللوبي وتعامل العاملين مع تحسن الانترنت بالغرف ووجود البقاله داخل الفندق. الحمام صغير جدا في بعض الشقق والسعر في المواسم,Negative,Positive,0.986733496,0.013266508,0.986733496,TRUE,TRUE
10466,“فندق لرحلات البزنس فقط”. الهدوء الاستقبال الجيد الخدمه السريعه موظفين علي درجه عاليه من الكفاءه النظافه. الغرف ضيقه جدا الحمام ضيق قله ادوات الحمامات بما فيها الفوط لايوجد بالغرف خزنه الدولاب صغير جداا,Negative,Positive,0.98672533,0.013274638,0.98672533,TRUE,FALSE
4598,“رحله العائله”. الراحه وعدم الازعاج. عدم وجود شطافات في الحمامات,Negative,Positive,0.9866485,0.013351485,0.9866485,TRUE,TRUE
5206,“شقق فوق الرائعه”. . لا شئ,Negative,Positive,0.986575961,0.013424056,0.986575961,TRUE,TRUE
2468,“رحله ممتعله مع فنادق الهلتون بدبي”. حبذي لو زياده في اصناف الافطار. الانتظار لوقت طويل لاستخدام المصاعد,Negative,Positive,0.986509144,0.013490811,0.986509144,TRUE,TRUE
255,“الفندق جميل جدا. ..الخدمه. .الموظفين. .فوق الممتاز”. الفندق ممتاذ جدا.,Negative,Positive,0.986426353,0.013573623,0.986426353,TRUE,TRUE
1077,“رائع”. الموقع النظافه الهدوء . حسن الاستقبال نمن الموظف جورج . وبعض موظفين الاستقبال. ضعف النت .. . .,Negative,Positive,0.986332357,0.013667664,0.986332357,TRUE,TRUE
9269,“محمد الشمري”. الطاقم محترم خصوصا السوري التابع للمطعم. اخلاق وابتسامه جميه. الفطور غير متنوع ومكرر,Negative,Positive,0.986264408,0.013735569,0.986264408,TRUE,TRUE
1490,“فندق جميل وحيوي”. اطلاله الغرف علي المسبح.,Negative,Positive,0.986124694,0.013875322,0.986124694,TRUE,TRUE
4452,“كانت اقامه جميله جدا ومريحه في مكان جميل جدا وهادي”. الهدوء النسبي والراحه وديكور الفندق. فرش الممرات في الفندق قديم نوعا ما,Negative,Positive,0.986009419,0.013990643,0.986009419,TRUE,TRUE
6518,“علي شو ⭐⭐⭐⭐⭐ علي ريحت البواليع الي فالغرف”. . الغرفه صغيره وايد • ريحت بواليع وانتو بكرامه فالغرف • والاكل الحمدلله علي النعمه اي شي • كانو امضيعين سويج الموتر • عالي شو عاطينه ⭐⭐⭐⭐⭐ مادي والله,Negative,Positive,0.985809863,0.014190124,0.985809863,FALSE,FALSE
996,“ممتعه”. كل شي. لا شي,Negative,Positive,0.985805094,0.014194889,0.985805094,TRUE,TRUE
1703,“مكان هادي ومريح”. الموقع ممنتاز والخدمات كذلك. صوت بعض النزلاء فقطوعدم وجود عوازل للصوت,Negative,Positive,0.985768378,0.014231642,0.985768378,TRUE,TRUE
5803,“الي الامام وتقدم”. الاستقبال من قبل الموظفين ممتاز. قيمه الفاتوره كانت اكثر من الحجز من المفروض ان ادفع في يومين 1800 درهم تفاجئه ان الحساب 2700 درهم معدل 1000 درهم زياده,Negative,Positive,0.985723794,0.014276271,0.985723794,TRUE,FALSE
603,"“ممتازه”. فندق ممتاز موقع ممتاز كذلك كل شي يدعوك للحجز في هذا الفندق ،،، مع الشكر.",Negative,Positive,0.985700369,0.014299606,0.985700369,TRUE,TRUE
6933,“فندق ممتاز”. موقع ممتاز وكل شي طيب. لايوجد,Negative,Positive,0.985552967,0.014446983,0.985552967,TRUE,TRUE
6563,“الحلو ما يكتمل”. السعر مناسب وجيد جدا والمكان نظيف ومتسع وسهل الوصل الي الفندق. السكن محتاج الي بعض قليل جدا من الاواني والتلفاز لم يعمل ولا يوجد تليفون بالغرفه,Negative,Positive,0.98510462,0.014895389,0.98510462,TRUE,FALSE
8278,“ممتاز مقابل القيمه”. الهدوء والنظافه. لايوجد صابون استحمام وشامبو كذلك الفوط قليله,Negative,Positive,0.985092223,0.014907792,0.985092223,TRUE,TRUE
6866,“الراحه”. كل شئ. لا شئ,Negative,Positive,0.984957576,0.015042425,0.984957576,TRUE,TRUE
4265,“جيد”. قرب المكان حسن الضيافه سرعه الدخول. مفتاح الغرفه غير نشط معظم الاوقات,Negative,Positive,0.984855592,0.015144435,0.984855592,TRUE,TRUE
7309,“Not bad”. المكان نظيف ومرتب Nice and clean. برادات الثلج معطلهولا يوجد سله الثلج الثلاجه صغيره للعايلهاسعار الاكل يفرق باللغه الانجليزيه عن العربي طلبت ورق عنب ب ١٤ ولما جاتني الفاتوره طلب ١٧ ولقيت الفرق بالمينيو,Negative,Positive,0.984834194,0.015165779,0.984834194,FALSE,TRUE
1835,“موقع يمتاز بقرربه من الخدمات”. كل شيء جيد. سكنت في شقه بغرفتين وكان احد الحمامات به رائحه سيئه وطلبو مني تغيير الغرفه ولكني لم اغيرها بسبب اقامتي لم يتبقي منها الا يوم,Negative,Positive,0.98480463,0.015195442,0.98480463,TRUE,TRUE
5764,“رحله عمل رائعه”. الخدمات النظاف.,Negative,Positive,0.984786332,0.015213677,0.984786332,TRUE,TRUE
1798,“جميل جدا”. كل شيء جميل. مافي شيء,Negative,Positive,0.984535754,0.015464266,0.984535754,TRUE,TRUE
6343,“رحله موفقه”. كان مكان هادئ صحيح الفندق قديم لكن.لاتشعر بذلك..ردهات الفندق الداخليه جميله والمكان واسع جدا.. بعد الفندق عن المدينه,Negative,Positive,0.984502494,0.015497499,0.984502494,TRUE,TRUE
5721,“ممتاز”. . الراحه التامه الخدمات الجميله,Negative,Positive,0.983855665,0.016144335,0.983855665,TRUE,TRUE
4684,“فندق رائع جدا”. جميل بشكل عام.,Negative,Positive,0.983804762,0.016195204,0.983804762,TRUE,TRUE
9087,“مكان رائع”. كل شئ. لا شئ,Negative,Positive,0.983601868,0.016398195,0.983601868,TRUE,TRUE
3353,“الافضل علي الاطلاق”. Thanx for all Armani stuff. Cigar lounge,Negative,Positive,0.98318547,0.016814554,0.98318547,TRUE,TRUE
3935,“انصح بالفندق”. القرب من ابواب النساء في المسجد النبوي. المواقف ضيقه,Negative,Positive,0.982130706,0.017869297,0.982130706,TRUE,TRUE
9589,“الفندق ممتاز”. كل شي.,Negative,Positive,0.982094824,0.017905217,0.982094824,TRUE,TRUE
6764,“عدل وانصاف”. الهدوء والسيكرتي وعامل باكستاني اسمه ناصر يحمل الشنط.. تعامل الاستقبال. والنظافه. والبلكونه ليست مغلقه باحكام وكان المكان مزعج للغايه. ولم احصل علي حجري الاذي حجزته الا بعد يومين وكان حجري اربع ليلي اول يومين شقه صغيره وبعد الشكوي لبوكنك حصلت علي حجري الذي حجزته.,Negative,Positive,0.981877327,0.018122625,0.981877327,TRUE,FALSE
5026,“روعه”. الخدمه. لا شيء,Negative,Positive,0.981860757,0.018139284,0.981860757,TRUE,TRUE
8309,“اقامه مريحه وافطار شهي”. الافطار ممتاذ والفرش نظيف جدا والباصات متواجده دوما.,Negative,Positive,0.981841922,0.01815806,0.981841922,TRUE,TRUE
5798,“يححتاج توفير مواقف مجانيه”. الفندق نظيف ورائع لكن المواقف غير متوفره لازم تدفع 70 درهم لليوم ..,Negative,Positive,0.981574595,0.018425452,0.981574595,TRUE,TRUE
10212,“رائعه جدا جدا”. اعجبتني الغرفه والمطعم الافطار رائع. لاشيئ,Negative,Positive,0.981444597,0.018555366,0.981444597,TRUE,TRUE
3044,“حليو”. بعيد عن زحمات جده. فيش شحن الجوال في غرفه الجلوس للجناح تصميم الجناح ومساحته,Negative,Positive,0.981278241,0.018721782,0.981278241,TRUE,TRUE
4531,“ممتاز”. كل شئ اعجبني. البعد عن المدينه والتكلفه العاليه للتكاسي,Negative,Positive,0.981221378,0.018778544,0.981221378,TRUE,TRUE
7613,“نسكنك لقربك للحرم”. الفندق من حيث الموقع ممتاز جدااا الاستقبال جدا رائع خصوصاااا الشاب جهاد ماشاء الله تبارك الله خدمه الغرف سيئه الاذان متعطل السماعات داخل الغرف وتم التبليغ وخمس ايام الاقامه ولم تصلح الافطار الحمدلله علي النعمه متكرره كل يوم الي رز بالحليب تتغير الي شعيريه بالحليب المغسله غاليه جداااا شركه مكه هيلتون افضل والسعر اقل والافطار افضل رويال اوركيد افضل تم السكنه العام الماضي والصفوه1 افضل تم السكنه قبل العام ولم اكن اتوقع اسكن بهكاذا خدمه حتي عمال الخدمه ينتظر عندك ينتظر الاكراميه. خدمه الغرف الافطار الصباحي متكررالعماله تنتظر التكريم,Negative,Positive,0.981122136,0.018877892,0.981122136,TRUE,FALSE
9888,“رحلتي الي دبي”. بشكل عام لاباس به. صغر مقاس الغرف,Negative,Positive,0.980894089,0.019105896,0.980894089,TRUE,TRUE
3084,“فندق ممتاز”. الافطار رائع ومتنوع والموقع اكتر من ممتاز. لاشئ,Negative,Positive,0.980553985,0.019445984,0.980553985,TRUE,TRUE
2089,“جميل من ذهب”. كله جميل. لاسعار مرتفعه,Negative,Positive,0.980504036,0.019495994,0.980504036,TRUE,TRUE
2955,“الموظف في الاستقبال سيء في المعامله”. كل شي جميل الا موظف الاستقبال. موظف الاستقبال + ترتيب الغرفه عندما طلبت منهم رفضوا,Negative,Positive,0.980345666,0.019654315,0.980345666,FALSE,FALSE
8217,“تصميم اوروبي رائع”. تصميم المنتجع و الاطلاله و الخدمات. تغطيه الانترنت سيئه جدا الدخول ليس قبل الساعه 3 انتظرنا طويلا في الاستقبال,Negative,Positive,0.980075896,0.019924067,0.980075896,TRUE,TRUE
9424,“الفندق ممتاز عموما”. النظافه الهدوء الافطار والموقع. التاخير احيانا عند طلب الخدمه,Negative,Positive,0.980073035,0.019926988,0.980073035,TRUE,TRUE
4305,“شكرا فندق روتانا المسك”. مستوي الفندقه. المهاقف المواقف المواقف,Negative,Positive,0.979923666,0.020076348,0.979923666,TRUE,TRUE
7783,“اعطني المال ثم اخدمك”. الموقع و الاثاث والنظافه. اولا اخذ عربون.ثانيا لم يكن نفس المبلغ الذي تم عرضه علي الموقع تفاجأت باضافه رسوم اضافيه.ثالثا وصلنا متعبين من السفر قبل موعد الدخول ولم يسمح لنا بدخول الشقه الا بعد اخذ مبلغ نصف يوم مقابل راحتنا انا واطفالي لعدد الساعات المتبقيه.,Negative,Positive,0.979896426,0.020103568,0.979896426,FALSE,FALSE
6913,“اقامه مريحه غير ممتعه جدا”. حداثه المبني. ضيق الغرفالاطلاله كئيبه قله قنوات التلفزيون,Negative,Positive,0.979813457,0.020186584,0.979813457,FALSE,FALSE
1963,"“فكره شقق مفروشه ممتازه بسبب تواجد العاب للاطفال ، موقع جيد جدا ، النظافه الي حد ما ممتازه”. فكره الالعاب والمسبح رائعه ، ولو يمكن تفعيلها بشكا افضل في جميع المشاريع السياحيه سيكون ذلك رائعا. خدمات المواقف ، وباب الفندق مغلق للسيارات",Negative,Positive,0.979579687,0.020420378,0.979579687,TRUE,TRUE
9024,“القيمه مقابل السعر”. الموقع وعزل الصوت في الغرف ممتاز السعر مقابل القيمه جيد. النظافه و تعامل الموظفين الفندق تقريبا شبابي اعتقد لايصلح للعوائل,Negative,Positive,0.979482234,0.020517826,0.979482234,FALSE,TRUE
1093,“فندق جيد وانصح السكن فيه والخصوصيه موجوده”. مو قع الفندق وقربيه من المول وقصر الحمراواشكر قسم الاستقبال وبالاخص الموظفه كارلا الفلبينه لسرعتها في الخدمه. العفش قديم وعدم وجود جريده الصبح مثل الفنادق الثانيه ورسوم الانترنيت والفطور المكرره كل يوم,Negative,Positive,0.979031384,0.020968622,0.979031384,TRUE,FALSE
5020,“مناسب جدا”. كان الافطار لذيذا.,Negative,Positive,0.978788972,0.021211009,0.978788972,TRUE,TRUE
5010,“سكن مريح”. . تهريب بدوراه المياه اكرمكم اللهاخذ مبلغ لدخول مبكرا,Negative,Positive,0.978753209,0.021246785,0.978753209,TRUE,FALSE
4268,“خمسه نجوم”. الموقع جميل. لاشي,Negative,Positive,0.978399098,0.021600846,0.978399098,TRUE,TRUE
5397,“محمد شمس”. النظام وقرب الفندق من الحرم الشريف. ارتفاع السعر,Negative,Positive,0.978169441,0.021830548,0.978169441,TRUE,TRUE
10422,"“فندق جميل لكن احذر من التنقلات بين مبانيه”. الفندق جميل بمسابحه وتخطيطه وتجهيزاته. يعاني الفندق من عيب اساسي ومهم ويتمثل في صعوبه التنقلات بين الشقق والمبني الرئيسي خاصه للعوائل، ففي كل مره تحتاج لطلب ""عربه غولف"" لنقلك من الشقه الي المبني الرئيسي لتتمكن من استلام سيارتك التي لابد من ايقافها في مواقف بعيده عن الشقه. المشكله ان عربات الغولف قليله مما يجعلك تنتظر لفترات قد تطول وهذا الانتظار مزعج خاصه حين يكون بعد عودتكم من يوم شاق خارج الفندق.",Negative,Positive,0.977909207,0.022090796,0.977909207,TRUE,FALSE
2617,“اجمل مافي الاقامه القرب من الحرم المكي”. قرب الفندق من الحرم المكي وتوفر باصات لنقل الساكنين الي الحرم مجانا. موقع الفندق في شارع ضيق جدا مع زحمه السيارات وعدم توفر مواقف الاثاث الارضي للفندق يحتاج تغيير بالكامل وجود غبار علي الطاولات والكراسي في الغرف,Negative,Positive,0.977874815,0.022125192,0.977874815,FALSE,TRUE
1365,“مكان مناسب للعائله الذاهبه للتسوق بدبي”. مساحه الشقه مناسبه للزوجين والاطفال القرب من محطه المترومواقف متوفره للسياره. عدم وجود فرن للطبخعدم وجود غسالهازدحام المصاعد وتاخرها,Negative,Positive,0.977694809,0.022305155,0.977694809,TRUE,FALSE
5654,“جيده جدا”. . لا يوجد شطاف في احد الحمامات,Negative,Positive,0.977377713,0.022622282,0.977377713,TRUE,TRUE
3953,“محمد السلمي”. فندق حلو ونظيف والاثاث جميل. الغرفه كان فيها جني بسم الله الرحمن الرحيم,Negative,Positive,0.977304578,0.022695366,0.977304578,TRUE,TRUE
4400,“جميل”. الموقع قربه من محطه المترو في مول الامارات عدم وجود ازعاج عدم وجود بار الموظف مصطفي في بوفيه الافطار. رفض الموظفه اللبنانيه تاخير الخروج الي الساعه ٢ الظهر بمزاجها وتواصلت مع الاستقبال ووفقوا,Negative,Positive,0.977050543,0.022949426,0.977050543,FALSE,TRUE
332,“السعر غالي”. موقع الفندق وفخامته. استخدام مصعديين للوصول لغرفتي,Negative,Positive,0.976775348,0.023224704,0.976775348,FALSE,TRUE
